Time,Ox Man Raw,Ox Man (psi),Fuel Man Raw,Fuel Man (psi),CC Raw,CC (psi),Ox Tank Raw,Ox Tank (psi),Press Tank Raw,Press Tank (psi),Thrust Raw,Thrust (lbf),dP Fuel,dP Ox
1625255,0.978491,-0.34528723,1.00387,2.101516,0.983694,0.71127962,1.01781,3.9650659,1.007611,11.633218,0.243262,22.03808,1.39023638,-1.05656685
1625284,0.977057,-0.69298921,1.003638,2.044484,0.983142,0.57591266,1.01723,3.8186797,1.005215,8.60107,0.242822,21.994454,1.46857134,-1.26890187
1625310,0.977157,-0.66874221,1.004321,2.21258,0.984332,0.86773636,1.017123,3.79167397,1.004941,8.253435,0.244141,22.125331,1.34484364,-1.53647857
1625348,0.975546,-1.05936138,1.00274,1.823858,0.984582,0.92904386,1.016321,3.58925719,1.004819,8.098931,0.241357,21.849036,0.89481414,-1.98840524
1625373,0.97623,-0.8935119,1.003473,2.003961,0.983871,0.75468533,1.017074,3.77930686,1.005905,9.47402,0.244165,22.127754,1.24927567,-1.64819723
1625400,0.97796,-0.4740388,1.003427,1.992705,0.985339,1.11468297,1.014685,3.17634715,1.00607,9.682601,0.244141,22.125331,0.87802203,-1.58872177
1625436,0.976279,-0.88163087,1.005307,2.454968,0.98616,1.3160168,1.015884,3.47896276,1.005707,9.22295,0.241455,21.858731,1.1389512,-2.19764767
1625470,0.972565,-1.78216445,1.004516,2.260607,0.983469,0.65610287,1.014532,3.13773148,1.004236,7.361172,0.244141,22.125331,1.60450413,-2.43826732
1625495,0.976095,-0.92624535,1.004703,2.306383,0.985147,1.06759881,1.014423,3.11022097,1.005221,8.608795,0.244128,22.124119,1.23878419,-1.99384416
1625532,0.977194,-0.65977082,1.002963,1.87864,0.983426,0.64555798,1.015112,3.28411768,1.004965,8.284336,0.242737,21.985972,1.23308202,-1.3053288
1625563,0.971521,-2.03530313,1.004376,2.226087,0.984592,0.93149616,1.015866,3.47441974,1.007269,11.200606,0.244141,22.125331,1.29459084,-2.96679929
1625588,0.975897,-0.97425441,1.004352,2.220084,0.983148,0.57738404,1.015356,3.34570084,1.003912,6.951736,0.244141,22.125331,1.64269996,-1.55163845
1625615,0.973553,-1.54260409,1.004504,2.257605,0.982864,0.50773872,1.014538,3.13924582,1.004578,7.793785,0.240161,21.730278,1.74986628,-2.05034281
1625651,0.976349,-0.86465797,1.004724,2.311636,0.983243,0.60068089,1.016745,3.69627055,1.003424,6.333718,0.241528,21.866002,1.71095511,-1.46533886
1625678,0.97778,-0.5176834,1.005331,2.460971,0.983169,0.58253387,1.016437,3.61853443,1.005597,9.083896,0.24364,22.075646,1.87843713,-1.10021727
1625706,0.976388,-0.85520164,1.003812,2.087258,0.982828,0.49891044,1.015613,3.41056507,1.005643,9.141835,0.244055,22.116848,1.58834756,-1.35411208
1625740,0.973242,-1.61801226,1.003448,1.997958,0.984094,0.80937162,1.015127,3.28790353,1.004636,7.867174,0.244128,22.124119,1.18858638,-2.42738388
1625767,0.971869,-1.95092357,1.004452,2.244848,0.985919,1.25691637,1.013962,2.99386918,1.006683,10.458985,0.244104,22.121695,0.98793163,-3.20783994
1625799,0.975015,-1.18811295,1.003641,2.045234,0.983417,0.64335091,1.014593,3.15312727,1.005258,8.655147,0.24364,22.075646,1.40188309,-1.83146386
